,mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,name1,name2,name3,name4,make
328,300,4,1460,6700,3250,218,80,2,mercedesbenz,240d,,,,mercedesbenz 240d  
329,446,4,9100,6700,1850,138,80,3,honda,civic,1500,gl,,honda civic 1500 gl
330,409,4,8500,1835,173,80,2,renault,lecar,deluxe,,,,lecar deluxe  
331,338,4,9700,6700,2145,180,80,3,subaru,dl,,,,subaru dl  
332,298,4,8900,6200,1845,153,80,2,vokswagen,rabbit,,,,vokswagen rabbit  
333,327,6,1680,1320,2910,114,80,3,datsun,280zx,,,,datsun 280zx  
334,237,3,7000,1000,2420,125,80,3,mazda,rx7,gs,,,mazda rx7 gs 
335,350,4,1220,8800,2500,151,80,2,triumph,tr7,coupe,,,triumph tr7 coupe 
336,236,4,1400,2905,143,80,1,ford,mustang,cobra,,,,mustang cobra  
337,324,4,1070,7200,2290,170,80,3,honda,accord,,,,honda accord  
338,272,4,1350,8400,2490,157,81,1,plymouth,reliant,,,,plymouth reliant  
339,266,4,1510,8400,2635,164,81,1,buick,skylark,,,,buick skylark  
340,258,4,1560,9200,2620,144,81,1,dodge,aries,wagon,sw,,dodge aries wagon sw
341,235,6,1730,1100,2725,126,81,1,chevrolet,citation,,,,chevrolet citation  
342,300,4,1350,8400,2385,129,81,1,plymouth,reliant,,,,plymouth reliant  
343,391,4,7900,5800,1755,169,81,3,toyota,starlet,,,,toyota starlet  
344,390,4,8600,6400,1875,164,81,1,plymouth,champ,,,,plymouth champ  
345,351,4,8100,6000,1760,161,81,3,honda,civic,1300,,,honda civic 1300 
346,323,4,9700,6700,2065,178,81,3,subaru,,,,,subaru   
347,370,4,8500,6500,1975,194,81,3,datsun,210,mpg,,,datsun 210 mpg 
348,377,4,8900,6200,2050,173,81,3,toyota,tercel,,,,toyota tercel  
349,341,4,9100,6800,1985,160,81,3,mazda,glc,4,,,mazda glc 4 
350,347,4,1050,6300,2215,149,81,1,plymouth,horizon,4,,,plymouth horizon 4 
351,344,4,9800,6500,2045,162,81,1,ford,escort,4w,,,ford escort 4w 
352,299,4,9800,6500,2380,207,81,1,ford,escort,2h,,,ford escort 2h 
353,330,4,1050,7400,2190,142,81,2,volkswagen,jetta,,,,volkswagen jetta  
354,345,4,1000,2320,158,81,2,renault,18i,,,,,18i   
355,337,4,1070,7500,2210,144,81,3,honda,prelude,,,,honda prelude  
356,324,4,1080,7500,2350,168,81,3,toyota,corolla,,,,toyota corolla  
357,329,4,1190,1000,2615,148,81,3,datsun,200sx,,,,datsun 200sx  
358,316,4,1200,7400,2635,183,81,3,mazda,626,,,,mazda 626  
359,281,4,1410,8000,3230,204,81,2,peugeot,505s,turbo,diesel,,peugeot 505s turbo diesel
360,307,6,1450,7600,3160,196,81,2,volvo,diesel,,,,volvo diesel  
361,254,6,1680,1160,2900,126,81,3,toyota,cressida,,,,toyota cressida  
362,242,6,1460,1200,2930,138,81,3,datsun,810,maxima,,,datsun 810 maxima 
363,224,6,2310,1100,3415,158,81,1,buick,century,,,,buick century  
364,266,8,3500,1050,3725,190,81,1,oldsmobile,cutlass,ls,,,oldsmobile cutlass ls 
365,202,6,2000,8800,3060,171,81,1,ford,granada,gl,,,ford granada gl 
366,176,6,2250,8500,3465,166,81,1,chrysler,lebaron,salon,,,chrysler lebaron salon 
367,280,4,1120,8800,2605,196,82,1,chevrolet,cavalier,,,,chevrolet cavalier  
368,270,4,1120,8800,2640,186,82,1,chevrolet,cavalier,wagon,,,chevrolet cavalier wagon 
369,340,4,1120,8800,2395,180,82,1,chevrolet,cavalier,2door,,,chevrolet cavalier 2door 
370,310,4,1120,8500,2575,162,82,1,pontiac,j2000,se,hatchback,,pontiac j2000 se hatchback
371,290,4,1350,8400,2525,160,82,1,dodge,aries,se,,,dodge aries se 
372,270,4,1510,9000,2735,180,82,1,pontiac,phoenix,,,,pontiac phoenix  
373,240,4,1400,9200,2865,164,82,1,ford,fairmont,futura,,,ford fairmont futura 
374,360,4,1050,7400,1980,153,82,2,volkswagen,rabbit,l,,,volkswagen rabbit l 
375,370,4,9100,6800,2025,182,82,3,mazda,glc,custom,l,,mazda glc custom l
376,310,4,9100,6800,1970,176,82,3,mazda,glc,custom,,,mazda glc custom 
377,380,4,1050,6300,2125,147,82,1,plymouth,horizon,miser,,,plymouth horizon miser 
378,360,4,9800,7000,2125,173,82,1,mercury,lynx,l,,,mercury lynx l 
379,360,4,1200,8800,2160,145,82,3,nissan,stanza,xe,,,nissan stanza xe 
380,360,4,1070,7500,2205,145,82,3,honda,accord,,,,honda accord  
381,340,4,1080,7000,2245,169,82,3,toyota,corolla,,,,toyota corolla  
382,380,4,9100,6700,1965,150,82,3,honda,civic,,,,honda civic  
383,320,4,9100,6700,1965,157,82,3,honda,civic,auto,,,honda civic auto 
384,380,4,9100,6700,1995,162,82,3,datsun,310,gx,,,datsun 310 gx 
385,250,6,1810,1100,2945,164,82,1,buick,century,limited,,,buick century limited 
386,380,6,2620,8500,3015,170,82,1,oldsmobile,cutlass,ciera,diesel,,oldsmobile cutlass ciera diesel
387,260,4,1560,9200,2585,145,82,1,chrysler,lebaron,medallion,,,chrysler lebaron medallion 
388,220,6,2320,1120,2835,147,82,1,ford,granada,l,,,ford granada l 
389,320,4,1440,9600,2665,139,82,3,toyota,celica,gt,,,toyota celica gt 
390,360,4,1350,8400,2370,130,82,1,dodge,charger,22,,,dodge charger 22 
391,270,4,1510,9000,2950,173,82,1,chevrolet,camaro,,,,chevrolet camaro  
392,270,4,1400,8600,2790,156,82,1,ford,mustang,gl,,,ford mustang gl 
393,440,4,9700,5200,2130,246,82,2,vw,pickup,,,,vw pickup  
394,320,4,1350,8400,2295,116,82,1,dodge,rampage,,,,dodge rampage  
395,280,4,1200,7900,2625,186,82,1,ford,ranger,,,,ford ranger  
396,310,4,1190,8200,2720,194,82,1,chevy,s10,,,,chevy s10  
